go	va
hold this	tenez ceci
hold this	tiens ceci
how s tom	comment va tom
i beg you	je te prie
i can run	je sais courir
i can ski	je sais skier
i hate it	je deteste ca
i hope so	j espere bien
i knew it	je le savais
i like it	j aime ca
i love it	j adore ca
i love it	j adore ca
i mean it	je suis serieux
i mean it	je suis serieux
i must go	je dois partir
i saw him	je le vis
i saw you	je vous vis
i saw you	je te vis
i see tom	je vois tom
i want it	je le veux
i was new	j etais nouveau
i was new	j etais nouvelle
i ll work	je vais travailler
i ve lost	j ai perdu
is it bad	c est grave
is it far	est ce eloigne
is it far	est ce loin
is it you	est ce toi
is it you	est ce vous
it stinks	ca pue
it s cold	il fait froid
it s dark	c est sombre
it s dead	elle est morte
it s dead	c est mort
it s dead	il est mort
it s done	c est fait
it s free	c est gratuit
it s late	il est tard
it s lost	c est perdu
it s open	c est ouvert
it s true	c est vrai
let it be	ainsi soit il
let me go	laisse moi partir
let me go	laissez moi partir
let me go	laisse moi partir
let me go	laissez moi partir
let me in	laissez moi rentrer
let me in	laissez moi entrer
loosen up	echauffe toi
loosen up	echauffez vous
loosen up	detends toi
nice shot	joli coup
of course	pour sur
of course	mais ouais
of course	bien sur
of course	pour sur
pardon me	plait il
read this	lis ceci
say hello	dis bonjour
seriously	vraiment
seriously	serieusement
she cried	elle pleurait
she cried	elle pleura
she walks	elle marche
sign here	signe ici
sign here	signez ici
stay calm	restez calme
stay calm	reste calme
stay calm	reste tranquille
stay down	reste baisse
stay down	restez baisse
stay thin	reste mince
stop that	arretez ca
stop that	arrete ca
take this	prends ca
take this	prenez ca
that s it	c est ca
they swam	ils nageaient
they swam	elles nageaient
they swam	ils nagerent
they swam	elles nagerent
tom knits	tom tricote
tom knows	tom sait
tom s fat	tom est gros
try again	essaie encore
wait here	attends ici
wait here	attends la
wait here	attendez ici
wait here	attendez la
watch out	faites attention
watch out	fais attention
we did it	nous avons reussi
we did it	nous avons reussi
we talked	nous discutames
we waited	nous attendimes
we ll win	nous l emporterons
well done	bien vu
well done	bien cuit
well done	pas mal
what s up	quoi de beau
who is he	qui est ce
who is he	qui est il
who is it	qui est ce
who is it	qui est il
who knows	qui sait
who s ill	qui est malade
wonderful	magnifique
you drive	tu conduis
you drive	toi conduis
you drive	vous conduisez
you start	tu commences
you start	vous commencez
am i clear	suis je clair
am i clear	suis je claire
am i hired	suis je engage
am i hired	suis je engagee
am i right	ai je raison
am i wrong	me trompe je
am i wrong	ai je tort
are you up	es tu leve
are you up	es tu levee
are you up	etes vous leve
are you up	etes vous levee
are you up	etes vous leves
are you up	etes vous levees
are you up	es tu debout
are you up	etes vous debout
ask around	demande alentour
ask around	demandez alentour
be careful	sois prudent
be careful	sois prudente
be careful	soyez prudent
be careful	soyez prudente
be careful	soyez prudents
be careful	soyez prudentes
be content	sois satisfait
be content	sois satisfaite
be content	soyez satisfait
be content	soyez satisfaite
be content	soyez satisfaits
be content	soyez satisfaites
be serious	soyez serieux
be serious	soyez serieuse
be serious	soyez serieuses
be serious	sois serieux
be serious	sois serieuse
can i come	puis je venir
can i help	puis je aider
can i stay	puis je rester
check this	verifie ca
check this	regarde ca
come quick	viens vite
come quick	jouis vite
come to me	venez a moi
come to us	venez a nous
did we win	avons nous gagne
don t fret	te tracasse pas
don t fret	vous tracassez pas
don t move	ne bouge pas
don t move	ne bougez pas
don t move	ne bougez pas
don t move	ne bouge pas
don t talk	ne parle pas
don t talk	ne parlez pas
don t wait	n attends pas
don t wait	n attendez pas
find a job	trouve un emploi
find a job	trouve un boulot
follow him	suis le
follow him	suivez le
forget him	oublie le
forget him	oubliez le
forgive me	pardonnez moi
get to bed	va au lit
get to bed	allez au lit
go warm up	va t echauffer
go warm up	allez vous echauffer
he gave in	il a cede
he hung up	il a raccroche
he made it	il a reussi
here he is	il est ici
here we go	c est parti
here we go	on est partis
i can come	je peux venir
i can cook	je sais cuisiner
i can jump	je peux sauter
i can read	je sais lire
i can read	je peux lire
i can sing	je sais chanter
i can stay	je peux rester
i can swim	je sais nager
i can wait	je peux attendre
i can walk	je peux marcher
i doubt it	j en doute
i eat here	je mange ici
i envy him	je l envie
i envy you	je vous envie
i envy you	je t envie
i fixed it	je la reparai
i fixed it	je le reparai
i found it	je le trouvai
i guess so	je le suppose
i hate you	je te deteste
i hate you	je te hais
i have won	j ai gagne
i help him	je l aide
i know her	je la connais
i know him	je le connais
i like him	je l apprecie
i like you	tu me plais
i like you	vous me plaisez
i love tom	j aime tom
i love you	je t aime
i love you	je t adore
i loved it	j adorais ca
i met them	je les rencontrai
i must run	je dois courir
i sat down	je m assis
i saw them	je les vis
i see them	je les vois
i threw up	j ai vomi
i tried it	j ai essaye
i use this	j utilise cela
i want you	je te veux
i want you	je vous veux
i was busy	j etais occupee
i was good	je fus bon
i was good	je fus bonne
i was lost	j etais perdu
i was lost	j etais perdue
i was sick	j etais malade
i ll do it	je vais le faire
i ll hurry	je me depecherai
i ll stand	je resterai debout
i ve tried	j ai essaye
i ve tried	j ai tente
ignore tom	ignore tom
ignore tom	ignorez tom
is he busy	est il occupe
is he dead	est il mort
is he dead	est il decede
is he tall	est il grand
is it done	est ce fait
is it free	c est gratuit
is it hard	est ce difficile
is it nice	est ce chouette
is it safe	est ce sur
is it safe	est ce inoffensif
is it true	c est vrai
is that it	est ce cela
it is cold	il fait froid
it matters	ca importe
it matters	ca compte
it s a fad	c est une passade
it s a fad	c est une tocade
it s awful	c est terrible
it s awful	c est affreux
it s bulky	c est encombrant
it s clean	c est propre
it s early	il est tot
it s funny	c est marrant
it s funny	c est drole
it s funny	c est rigolo
it s green	c est vert
it s my cd	c est mon cd
it s night	il fait nuit
it s on me	c est pour moi
it s ready	c est pret
it s right	c est juste
it s sweet	c est mignon
it s sweet	c est gentil
it s weird	c est bizarre
it s wrong	c est faux
just relax	detendez vous
just relax	detends toi
keep quiet	reste tranquille
keep quiet	restez tranquille
keep quiet	reste tranquille
keep quiet	restez tranquille
keep quiet	restez tranquilles
let him go	laisse le partir
let him go	laissez le partir
let him go	laisse le partir
let him go	laissez le partir
let him in	fais le entrer
let him in	laisse le entrer
let him in	laissez le entrer
let him in	faites le entrer
let me die	laissez moi mourir
let me die	laisse moi mourir
let me out	laisse moi sortir
let me out	laissez moi sortir
let me pay	laisse moi payer
let me pay	laissez moi payer
let me see	laissez moi voir
let me try	laisse moi essayer
let me try	laissez moi essayer
let us out	laisse nous sortir
let us out	laissez nous sortir
lighten up	detends toi
mama cried	maman pleurait
no comment	sans commentaire
no kidding	sans blague
no problem	aucun probleme
no problem	aucun probleme
no problem	sans probleme
shadow him	file le
stand back	recule toi
stand back	reculez vous
stay awake	reste debout
stay awake	reste eveille
stay sharp	reste malin
step aside	ecarte toi
step aside	ecartez vous
take a bus	prenez un bus
talk to me	parle avec moi
talk to me	parlez avec moi
that a boy	c est bien
that works	ca fonctionne
that s all	c est tout
that s fun	c est amusant
that s fun	c est marrant
that s her	c est elle
that s odd	c est bizarre
they cheat	ils trichent
they cheat	elles trichent
this is it	ca y est
this works	ca fonctionne
tom cheats	tom triche
tom drinks	tom boit
tom drives	tom conduit
tom forgot	tom oublia
tom helped	tom aida
tom jumped	tom sauta
tom looked	tom regarda
tom sighed	tom soupira
tom snores	tom ronfle
tom yawned	tom bailla
tom s dead	tom est mort
tom s deaf	tom est sourd
tom s died	tom est mort
tom s fast	tom est rapide
tom s free	tom est libre
tom s glad	tom est content
tom s glad	tom est heureux
tom s glad	tom est joyeux
tom s here	tom est la
tom s here	tom est ici
tom s left	tom est parti
tom s well	tom va bien
tough luck	tant pis
wait a bit	attends une seconde
wait a bit	attends un peu
wait a sec	attends une seconde
wait a sec	attendez une seconde
we all die	nous mourons tous
we all die	nous mourons toutes
we can pay	nous pouvons payer
we can try	nous pouvons essayer
we can try	nous pouvons tenter
we can win	nous pouvons gagner
we like it	nous l apprecions
we made it	nous avons reussi
we must go	nous devons partir
we want it	nous le voulons
what is it	qu est ce
what s new	quoi de nouveau
where am i	ou suis je
who are we	qui sommes nous
you decide	toi decide
you decide	vous decidez
you may go	vous pouvez partir
you may go	tu peux partir
you ve won	vous avez gagne
you ve won	tu as gagne
all is well	tout va bien
am i hungry	j ai faim
am i stupid	suis je idiot
am i stupid	suis je idiote
are we done	avons nous termine
are we lost	sommes nous perdus
are we lost	sommes nous perdues
are you tom	etes vous tom
are you mad	etes vous fou
are you mad	es tu folle
are you mad	etes vous folle
are you new	tu es nouveau
are you sad	es tu triste
as you like	comme tu veux
as you like	comme vous voulez
be creative	soyez creatives
be creative	soyez creatifs
be creative	soyez creative
be creative	soyez creatif
be creative	sois creative
be creative	sois creatif
be discreet	sois discret
be discreet	sois discrete
be discreet	soyez discret
be discreet	soyez discrete
be discreet	soyez discrets
be discreet	soyez discretes
be friendly	soyez amicales
be friendly	soyez amicaux
be friendly	soyez amicale
be friendly	soyez amical
be friendly	sois amicale
be friendly	sois amical
be merciful	sois clement
be merciful	sois clemente
be merciful	soyez clement
be merciful	soyez clements
be merciful	soyez clemente
be merciful	soyez clementes
be merciful	soyez misericordieuses
be merciful	soyez misericordieuse
be merciful	soyez misericordieux
be merciful	sois misericordieuse
be merciful	sois misericordieux
be prepared	sois pret
be prepared	sois prete
be prepared	soyez pret
be prepared	soyez prete
be prepared	soyez prets
be prepared	soyez pretes
be punctual	soyez ponctuelles
be punctual	soyez ponctuelle
be punctual	soyez ponctuels
be punctual	soyez ponctuel
be punctual	sois ponctuel
be punctual	sois ponctuelle
be ruthless	soyez impitoyable
be ruthless	soyez impitoyables
be ruthless	sois impitoyable
be sensible	soyez raisonnable
be sensible	soyez raisonnables
be sensible	sois raisonnable
can we come	pouvons nous venir
can we stop	pouvons nous arreter
can we talk	pouvons nous parler
can you try	pouvez vous essayer
come get it	viens le chercher
come get me	venez me chercher
come off it	arrete ton char
come off it	decroche de ca
come off it	change de disque
come off it	arrete ton char
cook for me	cuisine pour moi
cook for me	cuisinez pour moi
did you win	as tu vaincu
do your job	fais ton boulot
don t do it	ne le fais pas
don t do it	ne le faites pas
don t do it	ne le fais pas
don t do it	ne le faites pas
don t gloat	ne jubilez pas
don t gloat	ne jubile pas
don t laugh	ne ris pas
don t laugh	ne riez pas
don t leave	ne pars pas
don t leave	ne pars pas
don t leave	ne partez pas
don t shoot	ne tire pas
don t shoot	ne tirez pas
don t shoot	ne tire pas
don t shoot	ne tirez pas
don t shout	ne crie pas
don t worry	t inquiete pas
flip a coin	lance une piece
get serious	sois serieux
get the box	prends la boite
get the box	prenez la boite
go on ahead	continue en avant
have a beer	prends une biere
have a look	jette un il
have a look	jetez un il
he can come	il peut venir
he can read	il peut lire
he can swim	il sait nager
he chuckled	il gloussa
he found it	il le trouva
he grew old	il devint vieux
he has come	il est venu
he helps us	il nous aide
he likes me	il m apprecie
he resigned	il demissionna
he squinted	il loucha
he stood up	il se dressa
he was busy	il etait occupe
here we are	nous y voila
here we are	on y est
here we are	nous y voici
here we are	nous y voila
how are you	comment vas tu
how are you	comment allez vous
how are you	comment allez vous
how are you	comment il va
how are you	comment allons nous
how are you	comment ca va
i assume so	je le suppose
i came back	je suis revenu
i can dance	je sais danser
i can do it	je peux le faire
i can do it	je peux y arriver
i can do it	je peux y parvenir
i can t win	je ne peux gagner
i can t win	je ne puis gagner
i could try	je pourrais essayer
i cut class	j ai seche
i eat alone	je mange seul
i eat alone	je mange seule
i feel cold	j ai froid
i had to go	je devais y aller
i hate that	je deteste ca
i hate them	je les deteste
i hate this	je deteste ca
i know that	je le sais
i know them	je les connais
i know this	je sais ca
i know this	je le sais
i like that	j aime cela
i like that	j apprecie cela
i like them	je les apprecie
i like this	je l apprecie
i like this	j apprecie ceci
i live here	j habite ici
i love mary	j aime mary
i loved you	je t aimais
i messed up	j ai merde
i messed up	j ai foire
i messed up	j ai degueulasse
i messed up	j ai sali
i must obey	je dois obeir
i often ski	je skie souvent
i should go	je devrais partir
i thank you	je te remercie
i waited up	j ai veille
i want mary	je veux mary
i want more	je veux davantage
i want that	je le veux
i want them	je les veux
i want this	je veux ceci
i was alone	j etais seul
i was bored	je m ennuyais
i was drunk	j etais ivre
i was moved	j etais emu
i was naive	j etais credule
i was naive	je fus credule
i was naive	j etais naif
i was naive	j etais naive
i was ready	j etais prete
i was sober	j etais sobre
i was sorry	je fus desole
i was sorry	je fus desolee
i was there	j y etais
i was there	j etais la
i was tired	j etais fatigue
i was tired	j etais fatiguee
i was wrong	j avais tort
i was wrong	j eus tort
i will work	je vais travailler
i won t cry	je ne pleurerai pas
i won t cry	je ne crierai pas
i work here	je travaille ici
i ll attend	je serai present
i ll attend	j y assisterai
i ll decide	j en deciderai
i ll decide	je le deciderai
i ll get in	j arriverai a entrer
i ll get it	j irai le chercher
i ll go now	j y vais maintenant
i ve failed	j ai echoue
ignore them	ignore les
ignore them	ignorez les
is it clean	est ce propre
is it clear	est ce clair
is it dirty	est ce sale
is it fatal	est ce fatal
is it legal	est ce legal
is it ready	est ce pret
is it to go	cela doit il partir
is it yours	vous appartient il
is that all	c est tout
is that you	est ce toi
is that you	est ce vous
it can t be	c est pas possible
it was long	c etait long
it s yen	c est yen
it s monday	nous sommes lundi
it s a doll	c est une poupee
it s a song	c est une chanson
it s all ok	tout est d equerre
it s all ok	c est tout bon
it s broken	c est casse
it s ironic	c est ironique
it s locked	c est verrouille
it s my job	c est mon metier
it s my job	c est mon emploi
it s my son	c est mon fils
it s secret	c est secret
it s silent	c est silencieux
it s stupid	c est bete
it s urgent	c est urgent
just say no	dites simplement non
just say no	dis simplement non
let me talk	laisse moi parler
let me talk	laissez moi parler
let s do it	on s y met
make a list	fais une liste
make a list	faites une liste
make a wish	fais un souhait
make a wish	faites un souhait
many thanks	merci beaucoup
many thanks	merci vraiment
many thanks	merci bien
many thanks	mille mercis
may i begin	puis je commencer
nice timing	bien calcule
nice timing	pile poil
nice timing	moins une
nice timing	tout juste
no one came	personne ne vint
no one left	personne ne partit
now i m sad	maintenant je suis attriste
now we wait	maintenant nous attendons
pick a card	pioche une carte
pick a card	piochez une carte
pick a date	choisissez une date
pick a date	choisis une date
please come	veuillez venir
please sing	veuillez chanter
please stop	veuillez arreter
release him	relache le
release him	relachez le
shall we go	y allons nous
she hit him	elle le frappa
she woke up	elle se reveille
should i go	devrais je partir
sleep tight	dors bien
sleep tight	dormez bien
stand aside	ecarte toi
stand aside	ecartez vous
stay in bed	reste au lit
stay in bed	restez au lit
take a bite	prends une bouchee
take a bite	prenez une bouchee
take a card	prends une carte
take a card	prenez une carte
take a look	jette un il
take a look	jetez un il
that is all	c est tout
that s cool	c est super
that s cool	c est cool
that s icky	c est collant
that s icky	c est gnangnan
that s lame	c est minable
that s lame	c est faible
that s true	c est exact
that s true	c est juste
that s ugly	c est laid
that s wise	c est sage
the tv s on	la tele est allumee
there it is	il est la
this is bad	c est mauvais
this is big	c est gros
this is big	c est grand
this is fun	c est amusant
this is new	c est nouveau
this is new	c est neuf
this is odd	c est bizarre
this stinks	ca pue
tom is dead	tom est mort
tom is weak	tom est faible
tom laughed	tom rit
tom listens	tom ecoute
tom ll quit	tom va demissionner
tom ll quit	tom va arreter
tom s alive	tom est vivant
tom s alone	tom est seul
tom s bored	tom s ennuie
tom s funny	tom est drole
tom s funny	tom est rigolo
tom s funny	tom est marrant
tom s sorry	tom est desole
was i wrong	avais je tort
we all quit	nous demissionnons tous
we all quit	nous demissionnons toutes
we all quit	nous arretons toutes
we all quit	nous arretons tous
we all work	nous travaillons tous
we all work	nous travaillons toutes
we broke up	nous nous separames
we broke up	nous avons rompu
we can talk	nous pouvons discuter
we can wait	nous pouvons attendre
we know him	nous le connaissons
we know him	on le connait
we like tom	nous aimons tom
we like tom	nous apprecions tom
we like him	nous l apprecions
we miss you	tu nous manques
we miss you	vous nous manquez
we promised	nous promimes
we survived	nous survecumes
we want tom	nous voulons tom
we ll hurry	nous nous depecherons
what was it	qu etait ce
what s that	qu est ce
what s that	qu est cela
what s this	c est quoi
where is he	ou est il
where was i	ou etais je
who are you	qui es tu
who are you	qui etes vous
who s there	qui est la
work slowly	travaille lentement
work slowly	travaillez lentement
you must go	tu dois partir
all is quiet	tout est calme
all is still	tout est calme
am i correct	ai je raison
are we alone	sommes nous seuls
are we alone	sommes nous seules
are we broke	sommes nous fauches
are we broke	sommes nous fauchees
are we ready	sommes nous prets
are we ready	sommes nous pretes
are you bald	es tu chauve
are you bald	etes vous chauves
are you bald	etes vous chauve
are you busy	es tu occupe
are you busy	etes vous occupe
are you busy	etes vous occupee
are you busy	es tu occupe
are you busy	es tu occupee
are you busy	etes vous occupes
are you busy	etes vous occupees
are you deaf	es tu sourd
are you deaf	etes vous sourd
are you deaf	etes vous sourde
are you deaf	es tu sourde
are you hurt	es tu blesse
are you hurt	etes vous blesse
are you hurt	etes vous blesses
are you hurt	etes vous blessees
are you hurt	etes vous blessee
are you lost	etes vous perdu
are you lost	etes vous perdus
are you lost	etes vous perdues
are you lost	es tu perdu
are you lost	es tu perdue
are you lost	etes vous perdue
are you sick	es tu malade
are you sure	es tu sur
are you sure	es tu sure
are you sure	etes vous sur
are you sure	etes vous sure
are you sure	etes vous sures
are you sure	etes vous surs
are you sure	etes vous sur
are you sure	es tu sur
are you sure	etes vous surs
are you sure	etes vous sures
be attentive	sois attentif
be attentive	sois attentive
be confident	sois confiant
be confident	soyez confiant
be confident	soyez confiants
be confident	soyez confiante
be confident	soyez confiantes
be confident	sois confiante
bring a date	amene une copine
bring him in	fais le entrer
can i go now	puis je partir maintenant
can he do it	peut il le faire
can we leave	pouvons nous partir
can we start	pouvons nous commencer
can you come	peux tu venir
can you come	pouvez vous venir
can you stay	pouvez vous rester
can you swim	sais tu nager
can you swim	savez vous nager
can you swim	sais tu nager
can you walk	peux tu marcher
can you walk	pouvez vous marcher
come at once	viens ici immediatement
come help me	viens m aider
come join us	viens nous rejoindre
come join us	venez nous rejoindre
come quickly	viens vite
come quickly	venez vite
come quickly	viens vite
come quickly	venez vite
come with me	venez avec moi
come with me	viens avec moi
come with us	venez avec nous
cool it down	baisse le ton
did you sign	as tu signe
did you vote	as tu vote
did you vote	avez vous vote
don t be sad	ne sois pas malheureux
don t be sad	ne sois pas vexe
don t be shy	ne sois pas timide
don t bother	ne derange pas
don t bother	ne derangez pas
don t get up	ne vous levez pas
don t kid me	ne me charrie pas
don t kid me	ne me charriez pas
don t ramble	ne radote pas
don t ramble	ne radotez pas
don t resist	ne resiste pas
drive safely	conduis prudemment
drive safely	conduisez prudemment
drop the gun	lache l arme
drop the gun	lachez l arme
easy does it	on se calme
find the cat	trouvez le chat
find the cat	trouve le chat
get my rifle	attrape mon fusil
get my rifle	attrapez mon fusil
get my rifle	attrape ma carabine
get my rifle	attrapez ma carabine
have a donut	prends un beignet
have a donut	prenez un beignet
have a drink	prends un verre
have a drink	prenez un verre
have a drink	prends une boisson
have a drink	prenez une boisson
he avoids me	il m evite
he denied it	il le nia
he denied it	il le refusa
he had a dog	il avait un chien
he helps her	il l aide
he let me go	il me laissa partir
he let us go	il nous laissa partir
he loves her	il l aime
he shall die	il doit mourir
he was alone	il etait seul
he was brave	il etait brave
he was brave	il etait courageux
he was naive	il etait credule
he was naive	il etait naif
he was wrong	il eut tort
he was wrong	il avait tort
he will come	il devrait arriver
hey wait up	he un moment
how did i do	comment ai je fait
how horrible	quelle horreur
i admire you	je t admire
i admire you	je vous admire
i always win	je gagne toujours
i believe it	j y crois
i believe it	je le crois
i can fix it	je peux le reparer
i can fix it	je peux la reparer
i could help	je pourrais aider
i could help	je pouvais aider
i could walk	je pouvais marcher
i could walk	je pourrais marcher
i cut myself	je me coupai
i deserve it	je le merite
i did my job	je fis mon travail
i don t bite	je ne mords pas
i don t care	ca m est egal
i don t care	je m en fous
i don t date	je ne courtise pas
i don t mind	ca m est egal
i don t mind	cela m est egal
i doubt that	j en doute
i go jogging	je vais courir
i go to work	je vais au travail
i handled it	j ai gere
i have a car	j ai une voiture
i have a cat	j ai un chat
i have a cat	j ai une chatte
i have a dog	j ai un chien
i have a pen	j ai un stylo
i have to go	je dois y aller
i have to go	il me faut partir
i honor that	j honore cela
i hugged her	je l etreignis
i keep a dog	j eleve un chien
i loved that	j adorais ca
i must leave	je dois partir
i must study	je dois etudier
i need to go	je dois y aller
i often read	je lis souvent
i rewrote it	je le reecrivis
i see a book	je vois un livre
i see a lion	je vois un lion
i see a rose	je vois une rose
i suppose so	je le suppose
i sympathize	je compatis
i teach here	j enseigne ici
i understand	je comprends
i want a lot	j en veux plein
i want a lot	j en veux beaucoup
i want to go	je veux y aller
i was asleep	j etais endormi
i was asleep	j etais endormie
i was lonely	j etais esseule
i was lonely	j etais esseulee
i was stupid	j etais stupide
i will fight	je me battrai
i won t come	je ne viendrai pas
i work alone	je travaille seul
i work alone	je travaille seule
i ll be late	je serai en retard
i ll get you	j irai te chercher
i ll get you	j irai vous chercher
i ll get you	j irai te prendre
i ll get you	j irai vous prendre
i ll go home	j irai chez moi
i ll jump in	je m y joindrai
i ll risk it	je tenterai le coup
i ve checked	j ai verifie
i ve decided	j ai decide
i ve done it	je l ai fait
i ve got you	je t ai eu
i ve got you	je t ai eue
i ve got you	je vous ai eu
i ve got you	je vous ai eue
i ve got you	je vous ai eus
i ve got you	je vous ai eues
i ve lost it	je l ai perdu
i ve seen it	je l ai vu
is it a deer	est ce un cerf
is it a joke	est ce une blague
is it a wolf	est ce un loup
is it a wolf	est ce une louve
is it an elk	est ce un elan
is it broken	est ce casse
is it broken	est ce brise
is it cloudy	est ce nuageux
is it enough	est ce assez
is it nearby	est ce proche
is that a no	est ce un non
is that true	c est vrai
it has begun	ca a commence
it is a book	c est un livre
it is a book	ceci est un livre
it is a song	c est une chanson
it is my cat	c est mon chat
it is unfair	c est injuste
it was black	c etait noir
it was night	il faisait nuit
it was noisy	c etait bruyant
it was white	c etait blanc
it will burn	ca va bruler
it ll happen	ca aura lieu
it s a curse	c est une malediction
it s awesome	c est genial
it s awesome	c est super
it s awesome	c est effarant
it s complex	c est complique
it s complex	c est complexe
it s for you	c est pour toi
it s for you	c est pour vous
it s hideous	c est hideux
it s missing	c est manquant
it s missing	ca fait defaut
it s my book	c est mon livre
it s my turn	c est mon tour
it s obvious	c est evident
it s obvious	c est patent
it s on fire	c est en feu
it s our car	c est notre voiture
it s perfect	c est parfait
it s serious	c est serieux
it s started	c est commence
it s the law	c est la loi
it s too big	c est trop grand
it s too big	c est trop gros
it s too hot	il fait trop chaud
just say yes	dis juste oui
just say yes	dites juste oui
lead the way	montre le chemin
lead the way	montrez le chemin
let her talk	laisse la parler
let her talk	laissez la parler
let him talk	laisse le parler
let him talk	laissez le parler
let me check	laisse moi verifier
let me check	laissez moi verifier
let me check	laisse moi controler
let me check	laissez moi controler
let me leave	laisse moi partir
let me sleep	laisse moi dormir
let me sleep	laissez moi dormir
let s not go	n y allons pas
life goes on	la vie continue
look closely	regarde attentivement
make a guess	hasarde une hypothese
mary is cute	marie est mignonne
may i cut in	puis je vous interrompre
no one knows	personne ne sait
no one moved	personne ne bougea
no one spoke	personne ne parla
now fix that	maintenant repare ca
now fix that	maintenant corrigez cela
now leave us	maintenant laissez nous
now leave us	maintenant laisse nous
now leave us	vous pouvez disposer
ok go ahead	d accord allez y
play it cool	joue la pepere
please smile	veuillez sourire
shame on you	honte a toi
shame on you	honte a toi
she can swim	elle sait nager
she helps us	elle nous aide
she knows me	elle me connait
she liked it	elle l apprecia
she shot him	elle le descendit
she shrieked	elle cria
she stood up	elle se leva
she was busy	elle etait occupee
she went out	elle est partie
